rest_name,user_id,rating
The Bohemian Kitchen,10,3
Cafe Momos,10,0
The Chinese Box,10,3
Poonam Restaurant,10,2
Fiery Nation,10,5
Naivedya,10,2
Smokers House,10,0
Manasi Malai Gola,10,1
Vinu's Special Panipuri & Matki Bhel,10,4
Granma's Homemade,10,2
Hotel Delhi Darbar,10,0
Crown Lunch Home,10,0
The Coffee Club,10,0
Upside Down,10,1
Hotel Chai N Nashta,10,4
Pick N Eat,10,2
Aaryan's Kitchen,10,2
Cafe Scrummy Yummy,10,5
Food Paradise,10,5
Caffeine & Calories,10,1
Sai's Kitchen,10,0
Maharashtrian Darbar,10,4
Sai Sakshi,10,3
R K's Midnight Munches,10,5
Streets Of Indore,10,0
Pandurang Bhel,10,1
Muscle Foodz,10,3
Coconut Kitchen,10,5
Kadhai,10,4
Jashn e Biryani,10,0
Cafe Diamond King,10,5
Amruteshwar,10,5
Food In,10,4
Assal Marathmola Hotel,11,5
Swad Point,11,5
DK Biryani and Tandoor Center,11,3
Kritg,11,0
Punjabi Junction,11,4
Shree Family Chinese,11,1
Cozy Garden,11,3
Wok Masters,11,0
The Lounge@Being Baba,11,0
Kadhai,11,2
Kulfi Katta,11,3
Suvarn,11,1
Cafe Kababking,11,2
The Egg Junction,11,4
Chowpati Snacks Center,11,3
Hotel Farmaish,11,3
Cream and Crush,11,5
Chinese Mania,11,0
TPD The Punjabi Dhaba,11,2
Ambe  Snacks Centre,11,5
Ronnie's Food Junction,11,1
A Taste Of Indore,11,0
Annapurna Snacks Center,11,5
Harini Tiffin Center - HTC,11,4
Ground Up,11,2
Spice Culture,11,3
Khatta Hyderabad,11,5
Friends Garden,11,0
Hot To Pot,11,3
Hotel Annanpurna,11,4
Padmavati Chinese Corner,11,2
S Food World,11,3
Hotel Malvan,11,5
Golden Dragon Chinese And Snack Center,11,2
Chow Singh,11,0
Cafe Eatopia,11,2
Foodeshwar,11,2
The Bakerz Square,11,4
Ocean Grill Restaurant,11,3
Joshi Idli Dosa,11,1
Asia Seven,12,3
Candle Hut,12,2
Ithoba Misal,12,5
Papa Charlie Pizzeria,12,5
Shubham Coffee House,12,0
Heaven House Restro,12,3
Nikhil Restaurant And Garden,12,3
Radio Hotel,12,0
My Punjabi Bro,12,3
Apoorva,12,3
Shantai Kitchen,12,3
Pathan Laziz Biryani House,12,3
Anand Shudha Shakahari,12,3
P - Square by Sanghavi's Kitchen,12,3
Aaram Kolhapur,12,3
Khandeshi Swad,12,0
Tavang,12,3
Bismillah Catering,12,3
VP Alaina Chinese,12,4
Blue Water,416,2
Sant Savata Mess,12,0
Sandwich & Pasta Club,12,1
The Pizza Rocks Cafe,12,5
Tangasseri,12,3
Durga Bhuvan,12,4
Doner Bites And Desserts,12,1
On The Grill,12,4
Balaji Bhel,12,5
Hotel Shilpa Gavran,12,5
Cafe Durga,12,3
Shivam Restaurant,12,2
Hotel Shree Mahakali,12,1
KWC Foodies,12,2
Malini Family Restaurant & Bar,12,1
Hotel Vedant Pure Veg,12,4
New Diamond Bakery & Burger Point,13,1
Pi Frankie Station,13,2
Ice N Spice,13,2
Akkha Masur,13,5
Rainbow Hotel,13,5
Sweet Boutique,13,1
Saheba Hotel,13,5
Sandwich King,13,4
Hot Plate,13,4
Pune Misal House,13,4
Gholap Biryani's,13,4
Curry Tarri,13,5
Coffee Locale,13,3
Hotel Malhar,13,4
Nature's Eatery,13,5
Reddy & Reddy Hyderabad Biryani,13,1
Malji's Saiba Farsan Bhelpuri Centre,13,2
Hotel Sandalwood Family Garden Restaurant,13,2
Shahi Maratha Biryani,13,0
Spice Curry,13,5
Koliwada,13,4
Red Cafe,13,4
Chat House,13,3
Shaan e' Burger,13,3
The Magic Grill,13,0
Kathy's Burgertown,13,1
Om Shree Chinese Restaurant,13,4
Hotel Vishwa,13,5
Rajmudra,13,0
The Food - e,13,5
Royal Multi-Cuisine,13,2
"I'm Lion, Strictly Non-Veg",13,3
Sarovar Veg Non Veg Restaurant,13,0
Cafe Brava,13,5
Hotel Shravya,13,1
Sai Hotel and Restaurant,13,3
Hotel Maharashtra,13,1
Palkhi Restaurant,13,3
Hotel Jagdamba,13,1
Prabhu Coffee Shop,14,4
Hotel Morya Snacks & Amrutalya,14,5
Royal Rudra,14,4
Food Island,14,2
Green Food,14,2
Lai Bhari Hotel,14,2
Hot Spot,14,0
Sahyadri Misal Navi Peth,14,2
Sudit All Day Kitchen,14,3
Ocean Grill Restaurant,14,0
Sampan Restaurant,14,4
Hotel Gavgada,14,5
Haka House,14,1
Ozone,14,5
Gourmet Men,14,3
Nasta Express,14,0
Pahadi Chulaah,14,3
Royal Foods,14,2
Cafe Moriyo's,14,5
Maratha Darbar,14,0
29X7,14,4
Cafe Chocolate Mania,14,2
Cakes & Bakes,14,4
Oasis Cafe,14,2
Royal Burgers And Momos,14,2
Vaibhav Restaurant,14,3
New Siddheshwar,14,5
Hotel Sai,14,2
Baarish,14,0
65 Chinatown,14,4
Shahi Swad,14,0
Law Of Chill,14,4
Kerala Kitchen,14,3
Pyramid Hotel,14,2
The Tiffin Company,14,0
Shake O Holic,14,4
Flavour Live Kitchen,14,0
Pind Punjab,14,1
Shree Paripoorna Bhojnalay,14,0
Vidarbha Swaad,15,3
Pizza Destination,15,0
Mumbaian Pav Bhaji,15,1
Mishis Creation,15,0
Misal Katta,15,2
South Affairs,15,1
Royal Food,15,4
SR Starter Point,15,5
Cafe SD,15,0
Behesht Restaurant And Cafe,15,4
3 Spices - DoubleTree By Hilton Hotel,15,3
Satwik Dining Hall,15,0
Soda Monkey,15,4
A1 Foods,15,0
Zuni's Express,15,1
Nandu's Paratha,15,1
Greedy's Cafe,15,1
Maharashtra Hotel,15,4
Connexions Lounge & Bar - Holiday Inn Pune Hinjawadi,15,0
Tangerine,15,3
Kalika's The Royal Bakery,15,5
Foodiction,15,3
Cafe Uniq Aroma,15,4
Hot Chinese,15,0
Real Meal Deal,15,1
The Book Cafe,15,1
Hotel Ushakiran,15,5
Malabari Spice,15,1
The Bowl Job,15,3
Cafe Rova,15,2
Bombay Burgers & Sandwiches,15,5
Abhiman Pure Veg,15,5
Bhujbal Bandhu - Hotel Apulki,15,1
Hotel Shravani,15,0
Speeza Pizza,15,5
Cake World,15,0
Rolls Royal & Biryani,15,0
Idezzerts,15,3
Punjabi Foods Corner,15,4
Hotel Shivray,16,5
Punjab Express,16,4
Celebrations The Cake Shop,16,3
Lai Bhari Kolhapuri,16,5
Rajsthani Rasoi,16,1
Shree Prasadam,16,3
Hotel Sagar,16,0
Pragati Restaurant,16,1
TTMM - Tongue Tummy & Much More,16,4
Flavours@Khavayyejunction,16,2
Sheetal Da Dhaba,16,1
Eat Point,16,2
Cafe iSuite,16,5
R.S Food Zone,16,0
Rudra Pav Bhaji & Juice Bar,16,5
Cafe Rockstar,16,1
Keraabian Spices Kerala Delivery Kitchen,16,1
Cafe Kurleyz & Chinese House,16,5
Hotel Laxmi Family Restaurant,16,1
How I Mangalore,16,5
Happy Feet,16,2
Royal Connaught Boat Club,16,2
Hotel Garwa,16,2
N'tice,16,0
Rasika,16,5
Creamy'Nuts,16,0
Pride Kitchen Hyderabadi Biryani,16,2
Snackers Katta,16,2
Anna Lunch Home,16,4
SK Hotel,16,1
Mahesh Masoli Dhabba,16,0
Crunchy Bites,16,0
Wheat N Meat,16,1
The Sanghai Court,16,4
Biryani Kingdom,16,3
Brewbakes Cafe Bistro,16,0
Bee Bread,17,0
We Deshi Burger's,17,2
Perro's Pizzeria,17,3
Fancy  Cakes,17,3
Biryani B-Box,408,1
The Munch Bistro,17,5
Hotel Varun Garden,17,0
Hotel Renuka,17,1
Little Apple,17,1
Biker's Bite,17,5
Ramdev's Khana Khazana,17,5
Homly Touch,17,4
Royal Chinese & Fast Food,17,0
Royal Chinese,17,5
Rewind,17,4
Hotel Shravya,17,4
Suleman Caterers,17,2
Al Mustafa Dum Biryani,17,4
Taco Alfresco,17,5
Pakwaan Sweets And Snacks,17,4
The Sugar Factory,17,0
Star Of China,17,0
Swaraj Restaurant,17,4
Thai House,17,5
Hira's Rooftop Family Restaurant,17,5
Sasta Sunder Aur Tikau,17,0
@Kolhapur Resto,17,0
Yok China,17,4
Malwani Thaat,17,1
Gokul Pure Veg,17,0
Cake And Pastry Story,17,5
Sarang,17,5
Bedekar Tea Stall,204,1
"Incognito - Restaurant, Bar & Cafe",141,3
New Siddheshwar,17,4
Hotel Gopala,17,5
Hotel Malhar,17,5
Indore LIG Maggi & Pasta,17,0
Shawarmania,17,5
Roll Baby Roll,17,0
Aamhi Kokani,17,1
Hotel Samrudhi,17,0
Brussels Waffle & Cafe,17,1
Hotel Savali Family Garden Hotel,17,5
Le Tiffin,18,1
Burger House,18,5
Havmor Ice Cream,18,1
Sangeeta Dabeli,18,0
Hotel Kohinoor,18,1
Hotel Kokanratna Sea Food Family Resto,18,5
United Pizza Nation,18,1
Aranya Restaurant,18,5
Cafe Scrummy Yummy,18,2
The Cafe Infinity,18,3
Pavbhaji By Kilo,18,0
Krishna- The Veg Edge,18,0
Pizza Pixels,18,3
Trimurti  Holiday Resort,18,3
9th Avenue Bakers,18,5
Salt & Pepper Restaurant & Cafe,18,5
Rajmudra Restaurant & Bar,18,1
Misal Villa,18,2
Shree Bhel,18,3
Oriental Connexions,18,0
Area 78,18,3
Hotel Poona Veg Non-veg,18,3
Vaishnavi Litti Bhandar,18,1
Churros Cafe,18,3
Hotel Yermala,18,1
Phulka,18,5
Anna Wadapav,18,4
Mumbai Tadka,18,0
Parathawale,18,3
Hotel River Point,18,1
Hotel Rachana,18,0
The China Bistro,18,3
Butter Chicken Factory,18,2
Sanjayas Mess,18,4
New Sher-E-Punjab,18,4
Hyderabadi Biryani House,18,0
Hotel Jagdamb,18,1
The Melting Pot,18,4
Prem,18,0
Cafe Krew Brew,18,3
G.K.G.N Caterers,18,1
Pablo's Cafe,18,2
Khaunta Paay,18,3
Orien Chinese,18,1
Blinque - Parc Estique,18,4
Om Namo Snacks,18,4
Royal Restaurant,19,0
Cafe Kurleyz & Chinese House,19,0
Hotel Chandrama,19,0
A-1 Sandwizza,19,4
Sarangi Family Restaurant & Bar,19,1
Maharaja Family Restaurant,19,1
Vaishnavi Litti Bhandar,19,0
Ganraj Pure Veg,19,3
Hotel Rang Maratha,19,0
Mughal's,19,3
Pastas & More,19,3
Naan Factory,19,1
Kap's Corner,19,4
Boulevard - The Orchid Hotel,19,4
Smokin Biryani,19,4
Hungry Hobbit Food Hub,19,1
Layers Sandwich,19,0
Sandwich High School,19,3
Royal Burgerio,19,2
Tikka And Curries,19,1
Wow Kolkata,19,3
The Black Tomato,19,3
Royal Meals,19,2
Siddharth Pav Bhaji,19,1
Spice Garden,19,4
Grand Hotel Restaurant and Beer Bar,19,1
Punjab Junction,19,3
Ayyoo,19,2
Tiya Bakers,19,3
Zamu's Place,19,3
Biryani Darbar,19,1
Amrita Pure Veg,19,3
Kadak Misal,19,5
The Majestic Biryani House,19,3
Appa's Gurudev Sandwich & Pizza Corner,19,1
Orange Cafe,19,5
Etihad Foods,19,3
Indian Thali House,19,3
New Reddy's Restaurant,19,3
Zen Bar,19,3
NightExpress.in,20,4
Shabree Veg Non-Veg Family Restaurant,20,1
Wheat N Meat,20,4
Namah - Hotel Ambience Excellency,20,3
Bahiram Handi,20,4
Mumbaian Pav Bhaji,20,4
S. L. J. Iyangar Bakery,20,1
Green Sampan,20,0
Kolkata Rolls,20,3
Kamat's Green House,20,3
eat.fit,20,3
Poona Hotel,20,1
Annapurna,20,3
Tadka Gully,20,0
Royal Baking Co,20,0
Krustys Bistro,20,3
The Kabab & Curry,20,0
Veg Tiffin Box,20,3
Olde Bailey's,20,1
99 Kitchen,20,4
Fish Heaven,20,3
Badashahi,20,3
P&P Cafe,20,0
Bubbles Cafe,20,3
Mags Sports Lounge,20,4
Aries Chinese Food,20,5
Spice Island Chinese,20,2
ONLY Biryoonee,20,2
Anup Hotel,20,3
Indori Special Namkeen,20,4
Ice Cream House,20,3
Hotel 9 Star,20,5
Richard's Family Restaurant,20,3
Canosa Snacks,20,5
Southern Kitchen,20,5
Thali Junction Lonavala,20,0
Sneha,21,0
U.P Wala,21,3
The Paratha House,21,0
Carnivore Clan,21,5
Tejas Dhaba,21,5
Twisty Potato,21,5
Hotel Kaveri,21,2
Mejwani Canteen,21,1
Bhairavnath Misal House,21,4
The Kitchen At 24,21,4
Gaurishankar,21,5
Aamrapali Inn,21,3
Irani Bakery,21,5
KPP Food Court,21,5
Royal Katta Momo's Corner,21,0
Madurai Tiffin,21,1
A R Puneri Biryani House,21,5
Green Spoon Vegetarian Kitchen,21,5
Turning Point,21,0
Arirang Restaurant,21,3
EON Fine Dine Resto Bar,21,2
Sai Leela,21,5
A-1 Sandwizza,21,0
Misal Ani Barach Kahi,21,3
Bronze Pan,21,0
Cafe Dreamland,21,1
New Lucknow Catering,21,4
Shraddha,21,3
Downtown China,67,4
South Indian Crave Hub,21,3
Hot Pizza,21,1
Baner Katta,21,1
White Spice,21,3
Green Food,21,2
Om Sai Family Restaurant,21,4
Dilli Ke Chatore,21,0
WOW- World Of Wings,21,2
All Around spice,21,5
Trupti Authentic Indian Veg,21,2
Scoopy Smile,21,3
Hotel Shree Gurumauli And Snack Center,21,4
Number 19,21,4
Pub-G House,21,5
Greenwood Resort,21,4
Shahi Dawat,21,1
Caramella's Cake Shop,21,0
Famous Of Patna Litti Chokha,21,5
Falak On The Roof,22,4
Bigbite,22,5
Saundarya Garden,22,2
Hotel Sugran Veg-Non Veg Family Garden Restaurant,22,0
Ifruit Ice Cream,22,3
Vin's Biryani,22,3
Badshah Biryani,22,2
Truly Homely,22,5
Your Ale House,22,4
Panhalgad,22,1
Sweet Truth,22,2
Ayush Bhurji Center,22,5
Zingaat Misal,22,1
Misal Katta,22,2
The Greenhouse,22,0
The Chopstix,22,5
Hotel Sagar,22,3
Shravani Pure Veg,22,4
Asia Garden,22,4
Royal Indian Biryani,22,2
Nawabi Zaika,22,0
Zaika Kathi Roll,22,1
Fuel Station,22,2
Tiffen,22,3
Noodle House,22,5
Shree Krishna Pizza,22,3
New Hotel Matoshree,23,1
Dakshin Bhavan,23,3
Hotel Sarthak,23,5
Roll Baby Roll,23,1
Taru's Cakes,23,2
Sagar Restaurant,23,5
Murli Pure Veg,23,1
Rohith Snack Centre,23,4
Muoorgas,23,3
Kanifnath Snacks Center,23,4
Heaven,23,3
Hotel Shivalay,23,2
Soorma Biryani House,23,4
Chintamani Pan Darbar,23,2
Creamson Cakes,23,1
Renis Rolls,23,2
New Pratik Biryani House,23,5
Kalpak Bhel,23,4
Le 21 Patisserie,23,5
The London Shakes & Pizza Da Dhaba Cafe,23,3
Girija,23,4
Girivihar Dining Club,23,4
Rahat Kabab Corner,23,0
Hotel Shivmalhari,23,3
B&R Bakers,23,0
Hotel Al Madeena,23,5
Cafe Swarajya,23,5
Rolls Eat,23,0
The Biryani Factory,23,5
J's Catering Operations,23,0
Mafco Chinese Center,23,2
New Prachi Pure Veg,23,3
Sugaran Bhojnalay,23,0
The Bombay Milkshake Factory,23,0
Masala Punjab Da,23,2
Arizona Restaurant,23,2
Deli Times,23,2
Sudama Snacks Center,24,3
CaWaah,24,5
Kake Da Hotel,24,5
Sahyadri Misal,24,4
Hong Kong Chinese,24,4
Cafe Panaroma,24,4
Pan Food,24,4
Box O Burger,24,5
Shree Samarth Pure Veg,24,3
Vicky’s Shahi Shawarma,24,3
Capers Pizza,24,2
Flavoro'so,24,5
Home Sitte Shawarma,24,1
The Cake Art,24,0
Kwality Wall's,24,0
Chow Express,24,5
Burger Hub,24,3
Gandharv Pure Veg,24,0
Royal Spice,24,0
Cafe Tapari,24,2
Cafe Kaz,24,2
Cafe Laileena,24,1
Kebab Nation,24,0
Sanjha Chulha,24,4
Divine Foods,24,1
Hotel Durva,24,2
Janak,24,0
Cafe Yaari Dosti,24,1
Cafe Aryan,24,2
Saad Bakery,24,1
PK Spice,24,0
3D Moms,24,0
Night Biryani,24,4
